location_id,latitude,longitude,prediction_time,crime_category,transaction_amount,recent_txn_count,recent_withdrawal_count,distance_to_recent_withdrawal_km,dist_from_last_txn_km,minutes_since_last_txn,withdrawals_past_1h,withdrawals_past_24h,location_density_30d,historical_location_risk,login_attempts,transaction_duration,customer_age,account_balance,hour,day_of_week,withdrawal_occurred
LOC_036,29.4241,-98.4936,2020-01-01 00:00:00,routine_transaction,227.48,0,0,0.0,0.0,9999.0,0,0,0,0.0,1,127.0,23,1879.82,0,2,0
LOC_021,34.0522,-118.2437,2020-01-01 00:00:00,suspicious_cash_withdrawal,380.33,0,0,0.0,0.0,9999.0,0,0,0,1.0,1,88.0,41,11108.39,0,2,0
LOC_023,35.1495,-90.049,2020-01-01 00:00:00,routine_transaction,214.4,0,0,0.0,0.0,9999.0,0,0,0,1.0,1,18.0,27,746.47,0,2,0
LOC_023,35.1495,-90.049,2020-01-01 00:00:00,high_value_transfer,933.34,1,1,0.0,0.0,9999.0,0,0,1,1.0,1,137.0,24,125.85,0,2,0
LOC_029,35.4676,-97.5164,2020-01-01 00:00:00,routine_transaction,238.08,0,0,0.0,0.0,9999.0,0,0,0,0.0,1,196.0,23,707.25,0,2,0
LOC_015,36.7468,-119.7726,2020-01-01 00:00:00,routine_transaction,386.08,0,0,0.0,0.0,9999.0,0,0,0,0.0,1,105.0,56,6885.16,0,2,1
LOC_019,39.0997,-94.5786,2020-01-01 00:00:00,routine_transaction,277.82,0,0,0.0,0.0,9999.0,0,0,0,0.0,1,99.0,69,7471.63,0,2,0
LOC_032,33.4484,-112.074,2020-01-01 00:00:00,unusual_online_activity,65.83,0,0,0.0,0.0,9999.0,0,0,0,1.0,1,170.0,24,1882.77,0,2,0
LOC_018,30.3322,-81.6557,2020-01-01 00:00:00,unusual_online_activity,267.59,0,0,0.0,0.0,9999.0,0,0,0,1.0,1,297.0,19,1231.98,0,2,0
LOC_015,36.7468,-119.7726,2020-01-01 00:00:00,routine_transaction,56.49,1,0,0.0,0.0,9999.0,0,0,0,0.5,1,56.0,27,800.93,0,2,0
LOC_009,39.9612,-82.9988,2020-01-01 00:00:00,routine_transaction,120.68,0,0,0.0,0.0,9999.0,0,0,0,0.0,1,41.0,28,1968.51,0,2,0
