location_id,latitude,longitude,prediction_time,crime_category,transaction_amount,recent_txn_count,recent_withdrawal_count,distance_to_recent_withdrawal_km,historical_location_risk,hour,day_of_week,withdrawal_occurred
LOC_036,29.4241,-98.4936,2020-01-01 00:00:00,routine_transaction,227.48,1,0,0.0,0.0,0,2,0
LOC_021,34.0522,-118.2437,2020-01-01 00:00:00,suspicious_cash_withdrawal,380.33,1,1,0.0,1.0,0,2,0
LOC_023,35.1495,-90.049,2020-01-01 00:00:00,routine_transaction,214.4,1,1,0.0,1.0,0,2,0
LOC_023,35.1495,-90.049,2020-01-01 00:00:00,high_value_transfer,933.34,2,1,0.0,1.0,0,2,0
LOC_029,35.4676,-97.5164,2020-01-01 00:00:00,routine_transaction,238.08,1,0,0.0,0.0,0,2,0
LOC_015,36.7468,-119.7726,2020-01-01 00:00:00,routine_transaction,386.08,1,0,0.0,0.0,0,2,1
LOC_019,39.0997,-94.5786,2020-01-01 00:00:00,routine_transaction,277.82,1,0,0.0,0.0,0,2,0
LOC_032,33.4484,-112.074,2020-01-01 00:00:00,unusual_online_activity,65.83,1,0,0.0,1.0,0,2,0
LOC_018,30.3322,-81.6557,2020-01-01 00:00:00,unusual_online_activity,267.59,1,0,0.0,1.0,0,2,0
LOC_015,36.7468,-119.7726,2020-01-01 00:00:00,routine_transaction,56.49,2,1,0.0,0.5,0,2,0
LOC_009,39.9612,-82.9988,2020-01-01 00:00:00,routine_transaction,120.68,1,0,0.0,0.0,0,2,0
LOC_016,29.7604,-95.3698,2020-01-01 00:00:00,high_value_transfer,501.98,1,0,0.0,1.0,0,2,0
LOC_014,32.7555,-97.3308,2020-01-01 00:00:00,routine_transaction,28.32,1,0,0.0,0.0,0,2,0
LOC_007,41.8781,-87.6298,2020-01-01 00:00:00,routine_transaction,105.82,1,0,0.0,0.0,0,2,0
LOC_008,38.8339,-104.8214,2020-01-01 00:00:00,routine_transaction,51.38,1,0,0.0,0.0,0,2,0
LOC_001,35.0844,-106.6504,2020-01-01 00:00:00,high_value_transfer,428.83,1,0,0.0,1.0,0,2,0
LOC_020,36.1699,-115.1398,2020-01-01 00:00:00,routine_transaction,135.37,1,0,0.0,0.0,0,2,0
LOC_027,36.1627,-86.7816,2020-01-01 00:00:00,routine_transaction,21.29,1,0,0.0,0.0,0,2,0
LOC_032,33.4484,-112.074,2020-01-01 00:00:00,routine_transaction,228.53,2,0,0.0,0.5,0,2,0
LOC_028,40.7128,-74.006,2020-01-01 00:00:00,suspicious_cash_withdrawal,467.11,1,1,0.0,1.0,0,2,0
LOC_034,35.7796,-78.6382,2020-01-01 00:00:00,routine_transaction,317.85,1,0,0.0,0.0,0,2,0
LOC_033,45.5152,-122.6784,2020-01-02 00:00:00,suspicious_cash_withdrawal,410.47,1,1,0.0,1.0,0,3,0
LOC_017,39.7684,-86.1581,2020-01-02 00:00:00,routine_transaction,27.31,1,0,0.0,0.0,0,3,0
LOC_006,35.2271,-80.8431,2020-01-02 00:00:00,unusual_online_activity,459.84,1,0,0.0,1.0,0,3,0
LOC_004,39.2904,-76.6122,2020-01-02 00:00:00,routine_transaction,160.91,1,0,0.0,0.0,0,3,0
LOC_025,25.7617,-80.1918,2020-01-02 00:00:00,routine_transaction,217.97,1,0,3758.77,0.0,0,3,1
LOC_001,35.0844,-106.6504,2020-01-02 00:00:00,suspicious_cash_withdrawal,710.33,2,1,0.0,1.0,0,3,0
LOC_007,41.8781,-87.6298,2020-01-02 00:00:00,routine_transaction,52.19,2,1,0.0,0.5,0,3,0
LOC_029,35.4676,-97.5164,2020-01-02 00:00:00,routine_transaction,163.58,2,0,0.0,0.0,0,3,0
LOC_035,38.5816,-121.4944,2020-01-02 00:00:00,routine_transaction,162.85,1,1,0.0,1.0,0,3,0
LOC_016,29.7604,-95.3698,2020-01-02 00:00:00,routine_transaction,7.25,2,0,0.0,0.5,0,3,0
LOC_012,42.3314,-83.0458,2020-01-02 00:00:00,high_value_transfer,480.31,1,0,0.0,1.0,0,3,0
LOC_025,25.7617,-80.1918,2020-01-02 00:00:00,suspicious_cash_withdrawal,377.04,2,1,0.0,0.5,0,3,0
LOC_039,37.3382,-121.8863,2020-01-02 00:00:00,routine_transaction,80.84,1,0,0.0,0.0,0,3,0
